GO biological process complete,allexp_forGO.txt - REFLIST (12841),plasticdown.txt (4129),plasticdown.txt (expected),plasticdown.txt (over/under),plasticdown.txt (fold Enrichment),plasticdown.txt (raw P-value),plasticdown.txt (FDR),plasticup.txt (4158),plasticup.txt (expected),plasticup.txt (over/under),plasticup.txt (fold Enrichment),plasticup.txt (raw P-value),plasticup.txt (FDR),plastic8down.txt (2285),plastic8down.txt (expected),plastic8down.txt (over/under),plastic8down.txt (fold Enrichment),plastic8down.txt (raw P-value),plastic8down.txt (FDR),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR)
regulation of macromolecule biosynthetic process (GO:0010556),1160,301,373,-,0.81,0.000448,0.122,419,375.62,+,1.12,0.0457,1,119,206.42,-,0.58,2.12E-10,9.3E-08,672,693.69,-,0.97,0.511,1
response to disaccharide (GO:0034285),54,14,17.36,-,0.81,0.571,1,24,17.49,+,1.37,0.189,1,8,9.61,-,0.83,0.725,1,36,32.29,+,1.11,0.663,1
regulation of post-embryonic development (GO:0048580),220,57,70.74,-,0.81,0.158,1,73,71.24,+,1.02,0.837,1,24,39.15,-,0.61,0.0189,0.346,116,131.56,-,0.88,0.281,1
response to salt stress (GO:0009651),278,72,89.39,-,0.81,0.102,1,120,90.02,+,1.33,0.00932,0.341,36,49.47,-,0.73,0.0792,0.805,178,166.25,+,1.07,0.493,1
positive regulation of cellular metabolic process (GO:0031325),398,103,127.98,-,0.8,0.0504,1,141,128.88,+,1.09,0.359,1,40,70.82,-,0.56,0.000241,0.0151,227,238.01,-,0.95,0.585,1
covalent chromatin modification (GO:0016569),116,30,37.3,-,0.8,0.333,1,30,37.56,-,0.8,0.289,1,11,20.64,-,0.53,0.0454,0.611,57,69.37,-,0.82,0.237,1
regulation of cellular macromolecule biosynthetic process (GO:2000112),1153,298,370.75,-,0.8,0.000381,0.121,419,373.35,+,1.12,0.0362,0.876,117,205.17,-,0.57,1.09E-10,6.93E-08,669,689.5,-,0.97,0.526,1
gibberellin mediated signaling pathway (GO:0010476),31,8,9.97,-,0.8,0.71,1,10,10.04,-,1,1,1,5,5.52,-,0.91,1,1,17,18.54,-,0.92,0.882,1
response to virus (GO:0009615),62,16,19.94,-,0.8,0.509,1,25,20.08,+,1.25,0.381,1,5,11.03,-,0.45,0.0872,0.854,36,37.08,-,0.97,0.917,1
chaperone cofactor-dependent protein refolding (GO:0051085),31,8,9.97,-,0.8,0.71,1,15,10.04,+,1.49,0.228,1,10,5.52,+,1.81,0.122,0.949,23,18.54,+,1.24,0.482,1
'de novo' posttranslational protein folding (GO:0051084),31,8,9.97,-,0.8,0.71,1,15,10.04,+,1.49,0.228,1,10,5.52,+,1.81,0.122,0.948,23,18.54,+,1.24,0.482,1
regulation of nucleobase-containing compound metabolic process (GO:0019219),1171,302,376.53,-,0.8,0.00029,0.104,422,379.18,+,1.11,0.05,1,120,208.37,-,0.58,1.49E-10,7.74E-08,675,700.27,-,0.96,0.435,1
regulation of RNA biosynthetic process (GO:2001141),1051,271,337.95,-,0.8,0.000657,0.121,385,340.32,+,1.13,0.0316,0.788,106,187.02,-,0.57,6.47E-10,1.85E-07,612,628.5,-,0.97,0.597,1
regulation of RNA metabolic process (GO:0051252),1121,289,360.46,-,0.8,0.000408,0.116,406,362.99,+,1.12,0.0458,1,113,199.48,-,0.57,1.41E-10,8.06E-08,649,670.37,-,0.97,0.504,1
mitotic sister chromatid segregation (GO:0000070),35,9,11.25,-,0.8,0.725,1,5,11.33,-,0.44,0.0961,1,4,6.23,-,0.64,0.506,1,13,20.93,-,0.62,0.178,1
positive regulation of cellular component biogenesis (GO:0044089),35,9,11.25,-,0.8,0.725,1,11,11.33,-,0.97,1,1,3,6.23,-,0.48,0.263,1,19,20.93,-,0.91,0.78,1
regulation of cellular amide metabolic process (GO:0034248),70,18,22.51,-,0.8,0.456,1,26,22.67,+,1.15,0.552,1,10,12.46,-,0.8,0.639,1,42,41.86,+,1,1,1
positive regulation of cellular process (GO:0048522),561,144,180.39,-,0.8,0.0136,0.589,206,181.66,+,1.13,0.122,1,56,99.83,-,0.56,7.04E-06,0.000759,323,335.48,-,0.96,0.594,1
regulation of gene expression (GO:0010468),1364,350,438.59,-,0.8,6.04E-05,0.0431,490,441.67,+,1.11,0.0393,0.912,139,242.72,-,0.57,2.3E-12,1.88E-09,786,815.68,-,0.96,0.397,1
"regulation of transcription, DNA-templated (GO:0006355)",1049,269,337.3,-,0.8,0.000504,0.111,385,339.67,+,1.13,0.029,0.747,104,186.66,-,0.56,2.62E-10,9.37E-08,610,627.31,-,0.97,0.578,1
regulation of nucleic acid-templated transcription (GO:1903506),1049,269,337.3,-,0.8,0.000504,0.107,385,339.67,+,1.13,0.029,0.744,104,186.66,-,0.56,2.62E-10,8.82E-08,610,627.31,-,0.97,0.578,1
response to extracellular stimulus (GO:0009991),160,41,51.45,-,0.8,0.215,1,68,51.81,+,1.31,0.0626,1,30,28.47,+,1.05,0.76,1,102,95.68,+,1.07,0.608,1
seedling development (GO:0090351),86,22,27.65,-,0.8,0.37,1,39,27.85,+,1.4,0.0939,1,9,15.3,-,0.59,0.15,1,55,51.43,+,1.07,0.727,1
response to osmotic stress (GO:0006970),329,84,105.79,-,0.79,0.0555,1,144,106.53,+,1.35,0.0028,0.136,41,58.54,-,0.7,0.0274,0.452,213,196.74,+,1.08,0.368,1
cellular response to starvation (GO:0009267),98,25,31.51,-,0.79,0.343,1,42,31.73,+,1.32,0.138,1,20,17.44,+,1.15,0.605,1,64,58.6,+,1.09,0.625,1
monocarboxylic acid catabolic process (GO:0072329),51,13,16.4,-,0.79,0.559,1,32,16.51,+,1.94,0.0045,0.193,7,9.08,-,0.77,0.712,1,42,30.5,+,1.38,0.133,1
response to carbohydrate (GO:0009743),106,27,34.08,-,0.79,0.311,1,56,34.32,+,1.63,0.00421,0.185,15,18.86,-,0.8,0.447,1,75,63.39,+,1.18,0.28,1
histone modification (GO:0016570),110,28,35.37,-,0.79,0.319,1,29,35.62,-,0.81,0.373,1,9,19.57,-,0.46,0.0199,0.363,54,65.78,-,0.82,0.257,1
negative regulation of biological process (GO:0048519),732,186,235.37,-,0.79,0.00299,0.241,259,237.03,+,1.09,0.209,1,84,130.26,-,0.64,4.49E-05,0.00346,407,437.74,-,0.93,0.231,1
DNA metabolic process (GO:0006259),339,86,109,-,0.79,0.0514,1,64,109.77,-,0.58,2.91E-05,0.00426,35,60.32,-,0.58,0.00124,0.0516,139,202.72,-,0.69,0.000126,0.18
nucleobase-containing compound transport (GO:0015931),83,21,26.69,-,0.79,0.36,1,25,26.88,-,0.93,0.823,1,10,14.77,-,0.68,0.308,1,43,49.63,-,0.87,0.462,1
negative regulation of metabolic process (GO:0009892),447,113,143.73,-,0.79,0.0211,0.666,153,144.74,+,1.06,0.562,1,52,79.54,-,0.65,0.00225,0.0782,244,267.31,-,0.91,0.247,1
intracellular signal transduction (GO:0035556),202,51,64.95,-,0.79,0.122,1,84,65.41,+,1.28,0.0607,1,18,35.95,-,0.5,0.00309,0.102,124,120.8,+,1.03,0.818,1
organic acid catabolic process (GO:0016054),119,30,38.26,-,0.78,0.251,1,62,38.53,+,1.61,0.003,0.142,21,21.18,-,0.99,1,1,87,71.16,+,1.22,0.169,1
carboxylic acid catabolic process (GO:0046395),119,30,38.26,-,0.78,0.251,1,62,38.53,+,1.61,0.003,0.14,21,21.18,-,0.99,1,1,87,71.16,+,1.22,0.169,1
response to organic cyclic compound (GO:0014070),159,40,51.13,-,0.78,0.183,1,73,51.49,+,1.42,0.0168,0.531,16,28.29,-,0.57,0.0254,0.424,99,95.08,+,1.04,0.747,1
rRNA metabolic process (GO:0016072),195,49,62.7,-,0.78,0.133,1,56,63.14,-,0.89,0.46,1,29,34.7,-,0.84,0.398,1,97,116.61,-,0.83,0.144,1
RNA (guanine-N7)-methylation (GO:0036265),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,2,2.39,-,0.84,1,1
Golgi to vacuole transport (GO:0006896),16,4,5.14,-,0.78,0.798,1,6,5.18,+,1.16,0.804,1,1,2.85,-,0.35,0.497,1,9,9.57,-,0.94,1,1
cell volume homeostasis (GO:0006884),4,1,1.29,-,0.78,1,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
regulation of cell differentiation (GO:0045595),20,5,6.43,-,0.78,0.816,1,9,6.48,+,1.39,0.392,1,3,3.56,-,0.84,1,1,13,11.96,+,1.09,0.858,1
dicarboxylic acid transport (GO:0006835),12,3,3.86,-,0.78,1,1,4,3.89,+,1.03,1,1,3,2.14,+,1.4,0.486,1,6,7.18,-,0.84,0.811,1
primary shoot apical meristem specification (GO:0010072),8,2,2.57,-,0.78,1,1,3,2.59,+,1.16,0.736,1,1,1.42,-,0.7,1,1,4,4.78,-,0.84,1,1
zygote asymmetric cell division (GO:0010070),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,2,2.39,-,0.84,1,1
primary meristem tissue development (GO:0010065),8,2,2.57,-,0.78,1,1,0,2.59,-, < 0.01,0.212,1,1,1.42,-,0.7,1,1,2,4.78,-,0.42,0.339,1
mitochondrial fission (GO:0000266),12,3,3.86,-,0.78,1,1,6,3.89,+,1.54,0.411,1,2,2.14,-,0.94,1,1,8,7.18,+,1.11,0.82,1
circumnutation (GO:0010031),4,1,1.29,-,0.78,1,1,0,1.3,-, < 0.01,0.578,1,0,0.71,-, < 0.01,1,1,1,2.39,-,0.42,0.657,1
meiotic spindle organization (GO:0000212),4,1,1.29,-,0.78,1,1,0,1.3,-, < 0.01,0.578,1,1,0.71,+,1.4,0.559,1,1,2.39,-,0.42,0.657,1
regulation of defense response (GO:0031347),144,36,46.3,-,0.78,0.19,1,77,46.63,+,1.65,0.000499,0.0366,15,25.62,-,0.59,0.0448,0.603,106,86.11,+,1.23,0.114,1
positive regulation of cellular catabolic process (GO:0031331),32,8,10.29,-,0.78,0.712,1,18,10.36,+,1.74,0.0688,1,2,5.69,-,0.35,0.155,1,23,19.14,+,1.2,0.489,1
carbohydrate homeostasis (GO:0033500),16,4,5.14,-,0.78,0.798,1,7,5.18,+,1.35,0.474,1,2,2.85,-,0.7,1,1,10,9.57,+,1.05,1,1
methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione (GO:0019243),4,1,1.29,-,0.78,1,1,3,1.3,+,2.32,0.373,1,1,0.71,+,1.4,0.559,1,4,2.39,+,1.67,0.483,1
"vesicle targeting, to, from or within Golgi (GO:0048199)",4,1,1.29,-,0.78,1,1,0,1.3,-, < 0.01,0.578,1,0,0.71,-, < 0.01,1,1,1,2.39,-,0.42,0.657,1
putrescine biosynthetic process (GO:0009446),4,1,1.29,-,0.78,1,1,2,1.3,+,1.54,0.639,1,1,0.71,+,1.4,0.559,1,2,2.39,-,0.84,1,1
putrescine metabolic process (GO:0009445),4,1,1.29,-,0.78,1,1,2,1.3,+,1.54,0.639,1,1,0.71,+,1.4,0.559,1,2,2.39,-,0.84,1,1
positive regulation of protein phosphorylation (GO:0001934),12,3,3.86,-,0.78,1,1,8,3.89,+,2.06,0.119,1,1,2.14,-,0.47,0.706,1,10,7.18,+,1.39,0.51,1
cytochrome complex assembly (GO:0017004),24,6,7.72,-,0.78,0.675,1,11,7.77,+,1.42,0.329,1,5,4.27,+,1.17,0.794,1,17,14.35,+,1.18,0.629,1
pyridoxal phosphate biosynthetic process (GO:0042823),4,1,1.29,-,0.78,1,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,3,2.39,+,1.25,0.718,1
pyridoxal phosphate metabolic process (GO:0042822),4,1,1.29,-,0.78,1,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,3,2.39,+,1.25,0.718,1
vitamin B6 biosynthetic process (GO:0042819),4,1,1.29,-,0.78,1,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,3,2.39,+,1.25,0.718,1
epithelial cell differentiation (GO:0030855),12,3,3.86,-,0.78,1,1,4,3.89,+,1.03,1,1,1,2.14,-,0.47,0.706,1,6,7.18,-,0.84,0.811,1
mitotic DNA replication initiation (GO:1902975),4,1,1.29,-,0.78,1,1,0,1.3,-, < 0.01,0.578,1,1,0.71,+,1.4,0.559,1,1,2.39,-,0.42,0.657,1
"protein import into peroxisome matrix, docking (GO:0016560)",4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
establishment of protein localization to plasma membrane (GO:0061951),4,1,1.29,-,0.78,1,1,3,1.3,+,2.32,0.373,1,0,0.71,-, < 0.01,1,1,4,2.39,+,1.67,0.483,1
positive regulation of alcohol biosynthetic process (GO:1902932),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,2,2.39,-,0.84,1,1
glutathione metabolic process (GO:0006749),20,5,6.43,-,0.78,0.816,1,11,6.48,+,1.7,0.207,1,6,3.56,+,1.69,0.269,1,14,11.96,+,1.17,0.723,1
cuticle hydrocarbon biosynthetic process (GO:0006723),4,1,1.29,-,0.78,1,1,2,1.3,+,1.54,0.639,1,1,0.71,+,1.4,0.559,1,3,2.39,+,1.25,0.718,1
telomere maintenance in response to DNA damage (GO:0043247),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,1,2.39,-,0.42,0.657,1
positive regulation of protein-containing complex disassembly (GO:0043243),4,1,1.29,-,0.78,1,1,2,1.3,+,1.54,0.639,1,1,0.71,+,1.4,0.559,1,2,2.39,-,0.84,1,1
protein deacylation (GO:0035601),16,4,5.14,-,0.78,0.798,1,4,5.18,-,0.77,0.798,1,3,2.85,+,1.05,1,1,8,9.57,-,0.84,0.834,1
tRNA 3'-trailer cleavage (GO:0042779),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,2,2.39,-,0.84,1,1
amine catabolic process (GO:0009310),8,2,2.57,-,0.78,1,1,3,2.59,+,1.16,0.736,1,1,1.42,-,0.7,1,1,5,4.78,+,1.05,1,1
negative regulation of mRNA metabolic process (GO:1903312),4,1,1.29,-,0.78,1,1,2,1.3,+,1.54,0.639,1,1,0.71,+,1.4,0.559,1,3,2.39,+,1.25,0.718,1
vacuolar protein processing (GO:0006624),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,2,2.39,-,0.84,1,1
putrescine biosynthetic process from arginine (GO:0033388),4,1,1.29,-,0.78,1,1,2,1.3,+,1.54,0.639,1,1,0.71,+,1.4,0.559,1,2,2.39,-,0.84,1,1
protein storage vacuole organization (GO:1990019),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
defense response to nematode (GO:0002215),4,1,1.29,-,0.78,1,1,3,1.3,+,2.32,0.373,1,0,0.71,-, < 0.01,1,1,3,2.39,+,1.25,0.718,1
DNA dealkylation (GO:0035510),12,3,3.86,-,0.78,1,1,2,3.89,-,0.51,0.54,1,1,2.14,-,0.47,0.706,1,5,7.18,-,0.7,0.62,1
single strand break repair (GO:0000012),4,1,1.29,-,0.78,1,1,0,1.3,-, < 0.01,0.578,1,0,0.71,-, < 0.01,1,1,1,2.39,-,0.42,0.657,1
mitochondrial genome maintenance (GO:0000002),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,1,2.39,-,0.42,0.657,1
mitotic DNA replication checkpoint (GO:0033314),8,2,2.57,-,0.78,1,1,1,2.59,-,0.39,0.698,1,1,1.42,-,0.7,1,1,3,4.78,-,0.63,0.553,1
mitotic spindle assembly checkpoint (GO:0007094),8,2,2.57,-,0.78,1,1,3,2.59,+,1.16,0.736,1,0,1.42,-, < 0.01,0.616,1,5,4.78,+,1.05,1,1
2'-deoxyribonucleotide biosynthetic process (GO:0009265),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,2,2.39,-,0.84,1,1
glucosamine-containing compound metabolic process (GO:1901071),8,2,2.57,-,0.78,1,1,3,2.59,+,1.16,0.736,1,0,1.42,-, < 0.01,0.616,1,5,4.78,+,1.05,1,1
regulation of sister chromatid cohesion (GO:0007063),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
detoxification of cadmium ion (GO:0071585),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
negative regulation of response to salt stress (GO:1901001),8,2,2.57,-,0.78,1,1,5,2.59,+,1.93,0.328,1,1,1.42,-,0.7,1,1,7,4.78,+,1.46,0.595,1
regulation of response to salt stress (GO:1901000),24,6,7.72,-,0.78,0.675,1,10,7.77,+,1.29,0.549,1,2,4.27,-,0.47,0.414,1,15,14.35,+,1.05,0.87,1
regulation of cellular pH (GO:0030641),16,4,5.14,-,0.78,0.798,1,4,5.18,-,0.77,0.798,1,2,2.85,-,0.7,1,1,7,9.57,-,0.73,0.667,1
negative regulation of mitotic sister chromatid separation (GO:2000816),8,2,2.57,-,0.78,1,1,3,2.59,+,1.16,0.736,1,0,1.42,-, < 0.01,0.616,1,5,4.78,+,1.05,1,1
negative regulation of chromosome segregation (GO:0051985),8,2,2.57,-,0.78,1,1,3,2.59,+,1.16,0.736,1,0,1.42,-, < 0.01,0.616,1,5,4.78,+,1.05,1,1
methylglyoxal catabolic process to lactate (GO:0061727),4,1,1.29,-,0.78,1,1,3,1.3,+,2.32,0.373,1,1,0.71,+,1.4,0.559,1,4,2.39,+,1.67,0.483,1
regulation of cellular amino acid metabolic process (GO:0006521),16,4,5.14,-,0.78,0.798,1,4,5.18,-,0.77,0.798,1,2,2.85,-,0.7,1,1,7,9.57,-,0.73,0.667,1
protein deglycosylation (GO:0006517),4,1,1.29,-,0.78,1,1,3,1.3,+,2.32,0.373,1,0,0.71,-, < 0.01,1,1,4,2.39,+,1.67,0.483,1
response to vitamin (GO:0033273),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
nuclear DNA replication (GO:0033260),16,4,5.14,-,0.78,0.798,1,2,5.18,-,0.39,0.273,1,1,2.85,-,0.35,0.497,1,5,9.57,-,0.52,0.261,1
negative regulation of cellular amine metabolic process (GO:0033239),4,1,1.29,-,0.78,1,1,0,1.3,-, < 0.01,0.578,1,1,0.71,+,1.4,0.559,1,1,2.39,-,0.42,0.657,1
regulation of cellular amine metabolic process (GO:0033238),16,4,5.14,-,0.78,0.798,1,4,5.18,-,0.77,0.798,1,2,2.85,-,0.7,1,1,7,9.57,-,0.73,0.667,1
heterochromatin assembly by small RNA (GO:0031048),12,3,3.86,-,0.78,1,1,6,3.89,+,1.54,0.411,1,1,2.14,-,0.47,0.706,1,6,7.18,-,0.84,0.811,1
polyamine transport (GO:0015846),4,1,1.29,-,0.78,1,1,3,1.3,+,2.32,0.373,1,0,0.71,-, < 0.01,1,1,4,2.39,+,1.67,0.483,1
meiotic cytokinesis (GO:0033206),8,2,2.57,-,0.78,1,1,2,2.59,-,0.77,1,1,1,1.42,-,0.7,1,1,4,4.78,-,0.84,1,1
purine ribonucleoside monophosphate metabolic process (GO:0009167),20,5,6.43,-,0.78,0.816,1,7,6.48,+,1.08,0.825,1,1,3.56,-,0.28,0.353,1,11,11.96,-,0.92,1,1
nucleotide catabolic process (GO:0009166),8,2,2.57,-,0.78,1,1,3,2.59,+,1.16,0.736,1,2,1.42,+,1.4,0.654,1,4,4.78,-,0.84,1,1
response to starvation (GO:0042594),120,30,38.59,-,0.78,0.251,1,50,38.86,+,1.29,0.151,1,24,21.35,+,1.12,0.56,1,77,71.76,+,1.07,0.657,1
nucleoside triphosphate catabolic process (GO:0009143),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
purine nucleoside monophosphate metabolic process (GO:0009126),20,5,6.43,-,0.78,0.816,1,7,6.48,+,1.08,0.825,1,1,3.56,-,0.28,0.353,1,11,11.96,-,0.92,1,1
purine nucleobase biosynthetic process (GO:0009113),8,2,2.57,-,0.78,1,1,3,2.59,+,1.16,0.736,1,0,1.42,-, < 0.01,0.616,1,4,4.78,-,0.84,1,1
oligosaccharide-lipid intermediate biosynthetic process (GO:0006490),12,3,3.86,-,0.78,1,1,3,3.89,-,0.77,1,1,1,2.14,-,0.47,0.706,1,6,7.18,-,0.84,0.811,1
protein demethylation (GO:0006482),12,3,3.86,-,0.78,1,1,4,3.89,+,1.03,1,1,0,2.14,-, < 0.01,0.234,1,7,7.18,-,0.98,1,1
chloroplast disassembly (GO:1904821),4,1,1.29,-,0.78,1,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,3,2.39,+,1.25,0.718,1
C-terminal protein amino acid modification (GO:0018410),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
assembly of large subunit precursor of preribosome (GO:1902626),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
protein localization to endoplasmic reticulum (GO:0070972),40,10,12.86,-,0.78,0.62,1,9,12.95,-,0.69,0.406,1,9,7.12,+,1.26,0.547,1,18,23.92,-,0.75,0.344,1
trehalose biosynthetic process (GO:0005992),8,2,2.57,-,0.78,1,1,5,2.59,+,1.93,0.328,1,1,1.42,-,0.7,1,1,7,4.78,+,1.46,0.595,1
organelle assembly (GO:0070925),116,29,37.3,-,0.78,0.244,1,33,37.56,-,0.88,0.566,1,11,20.64,-,0.53,0.0454,0.609,58,69.37,-,0.84,0.272,1
homoserine metabolic process (GO:0009092),8,2,2.57,-,0.78,1,1,3,2.59,+,1.16,0.736,1,2,1.42,+,1.4,0.654,1,4,4.78,-,0.84,1,1
branched-chain amino acid metabolic process (GO:0009081),32,8,10.29,-,0.78,0.712,1,17,10.36,+,1.64,0.0979,1,7,5.69,+,1.23,0.652,1,22,19.14,+,1.15,0.673,1
mannosylation (GO:0097502),4,1,1.29,-,0.78,1,1,0,1.3,-, < 0.01,0.578,1,1,0.71,+,1.4,0.559,1,1,2.39,-,0.42,0.657,1
pseudouridine synthesis (GO:0001522),20,5,6.43,-,0.78,0.816,1,7,6.48,+,1.08,0.825,1,2,3.56,-,0.56,0.564,1,12,11.96,+,1,1,1
cellular biogenic amine catabolic process (GO:0042402),8,2,2.57,-,0.78,1,1,3,2.59,+,1.16,0.736,1,1,1.42,-,0.7,1,1,5,4.78,+,1.05,1,1
positive regulation of response to water deprivation (GO:1902584),8,2,2.57,-,0.78,1,1,2,2.59,-,0.77,1,1,0,1.42,-, < 0.01,0.616,1,4,4.78,-,0.84,1,1
negative regulation of cell division (GO:0051782),4,1,1.29,-,0.78,1,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,3,2.39,+,1.25,0.718,1
positive regulation of cell division (GO:0051781),12,3,3.86,-,0.78,1,1,6,3.89,+,1.54,0.411,1,1,2.14,-,0.47,0.706,1,8,7.18,+,1.11,0.82,1
adenosine to inosine editing (GO:0006382),4,1,1.29,-,0.78,1,1,0,1.3,-, < 0.01,0.578,1,0,0.71,-, < 0.01,1,1,1,2.39,-,0.42,0.657,1
cellular response to disaccharide stimulus (GO:0071324),8,2,2.57,-,0.78,1,1,4,2.59,+,1.54,0.503,1,1,1.42,-,0.7,1,1,6,4.78,+,1.25,0.784,1
epidermis development (GO:0008544),12,3,3.86,-,0.78,1,1,4,3.89,+,1.03,1,1,1,2.14,-,0.47,0.706,1,6,7.18,-,0.84,0.811,1
positive regulation of defense response to insect (GO:1900367),4,1,1.29,-,0.78,1,1,3,1.3,+,2.32,0.373,1,0,0.71,-, < 0.01,1,1,4,2.39,+,1.67,0.483,1
sesquiterpenoid biosynthetic process (GO:0016106),12,3,3.86,-,0.78,1,1,4,3.89,+,1.03,1,1,2,2.14,-,0.94,1,1,6,7.18,-,0.84,0.811,1
heterochromatin organization involved in chromatin silencing (GO:0070868),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,1,2.39,-,0.42,0.657,1
positive regulation of protein exit from endoplasmic reticulum (GO:0070863),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,2,2.39,-,0.84,1,1
regulation of protein exit from endoplasmic reticulum (GO:0070861),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,2,2.39,-,0.84,1,1
negative regulation of mitotic sister chromatid segregation (GO:0033048),8,2,2.57,-,0.78,1,1,3,2.59,+,1.16,0.736,1,0,1.42,-, < 0.01,0.616,1,5,4.78,+,1.05,1,1
negative regulation of sister chromatid segregation (GO:0033046),8,2,2.57,-,0.78,1,1,3,2.59,+,1.16,0.736,1,0,1.42,-, < 0.01,0.616,1,5,4.78,+,1.05,1,1
heterochromatin maintenance (GO:0070829),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,1,2.39,-,0.42,0.657,1
microtubule polymerization (GO:0046785),12,3,3.86,-,0.78,1,1,1,3.89,-,0.26,0.209,1,1,2.14,-,0.47,0.706,1,4,7.18,-,0.56,0.44,1
regulation of membrane potential (GO:0042391),4,1,1.29,-,0.78,1,1,0,1.3,-, < 0.01,0.578,1,0,0.71,-, < 0.01,1,1,1,2.39,-,0.42,0.657,1
positive regulation of ion transmembrane transport (GO:0034767),4,1,1.29,-,0.78,1,1,0,1.3,-, < 0.01,0.578,1,1,0.71,+,1.4,0.559,1,1,2.39,-,0.42,0.657,1
borate transport (GO:0046713),4,1,1.29,-,0.78,1,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,2,2.39,-,0.84,1,1
protein exit from endoplasmic reticulum (GO:0032527),8,2,2.57,-,0.78,1,1,4,2.59,+,1.54,0.503,1,1,1.42,-,0.7,1,1,5,4.78,+,1.05,1,1
actin filament capping (GO:0051693),4,1,1.29,-,0.78,1,1,0,1.3,-, < 0.01,0.578,1,0,0.71,-, < 0.01,1,1,1,2.39,-,0.42,0.657,1
"regulation of defense response to bacterium, incompatible interaction (GO:1902477)",4,1,1.29,-,0.78,1,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,3,2.39,+,1.25,0.718,1
regulation of cell morphogenesis involved in differentiation (GO:0010769),16,4,5.14,-,0.78,0.798,1,4,5.18,-,0.77,0.798,1,1,2.85,-,0.35,0.497,1,8,9.57,-,0.84,0.834,1
positive regulation of cell growth (GO:0030307),12,3,3.86,-,0.78,1,1,4,3.89,+,1.03,1,1,0,2.14,-, < 0.01,0.234,1,6,7.18,-,0.84,0.811,1
lagging strand elongation (GO:0006273),4,1,1.29,-,0.78,1,1,0,1.3,-, < 0.01,0.578,1,0,0.71,-, < 0.01,1,1,1,2.39,-,0.42,0.657,1
DNA strand elongation involved in DNA replication (GO:0006271),12,3,3.86,-,0.78,1,1,1,3.89,-,0.26,0.209,1,2,2.14,-,0.94,1,1,4,7.18,-,0.56,0.44,1
