GO biological process complete,allexp_forGO.txt - REFLIST (12841),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR),plastic8_ref_forGO.txt (4605),plastic8_ref_forGO.txt (expected),plastic8_ref_forGO.txt (over/under),plastic8_ref_forGO.txt (fold Enrichment),plastic8_ref_forGO.txt (raw P-value),plastic8_ref_forGO.txt (FDR),plastic32_ref_forGO.txt (7279),plastic32_ref_forGO.txt (expected),plastic32_ref_forGO.txt (over/under),plastic32_ref_forGO.txt (fold Enrichment),plastic32_ref_forGO.txt (raw P-value),plastic32_ref_forGO.txt (FDR),different_dir_832_genes_ref_forGO.txt (129),different_dir_832_genes_ref_forGO.txt (expected),different_dir_832_genes_ref_forGO.txt (over/under),different_dir_832_genes_ref_forGO.txt (fold Enrichment),different_dir_832_genes_ref_forGO.txt (raw P-value),different_dir_832_genes_ref_forGO.txt (FDR)
oligosaccharide transport (GO:0015772),10,6,5.98,+,1,1,1,3,3.59,-,0.84,1,1,7,5.67,+,1.23,0.801,1,1,0.1,+,9.95,0.104,1
sucrose transport (GO:0015770),10,6,5.98,+,1,1,1,3,3.59,-,0.84,1,1,7,5.67,+,1.23,0.801,1,1,0.1,+,9.95,0.104,1
disaccharide transport (GO:0015766),10,6,5.98,+,1,1,1,3,3.59,-,0.84,1,1,7,5.67,+,1.23,0.801,1,1,0.1,+,9.95,0.104,1
sucrose catabolic process (GO:0005987),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
sialic acid transport (GO:0015739),5,3,2.99,+,1,1,1,0,1.79,-, < 0.01,0.335,1,2,2.83,-,0.71,1,1,0,0.05,-, < 0.01,1,1
negative regulation of small molecule metabolic process (GO:0062014),15,9,8.97,+,1,1,1,5,5.38,-,0.93,1,1,9,8.5,+,1.06,1,1,0,0.15,-, < 0.01,1,1
pseudouridine synthesis (GO:0001522),20,12,11.96,+,1,1,1,7,7.17,-,0.98,1,1,6,11.34,-,0.53,0.22,1,0,0.2,-, < 0.01,1,1
response to redox state (GO:0051775),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,3,2.83,+,1.06,1,1,1,0.05,+,19.91,0.0582,1
regulation of gene expression by genetic imprinting (GO:0006349),10,6,5.98,+,1,1,1,2,3.59,-,0.56,0.743,1,6,5.67,+,1.06,1,1,0,0.1,-, < 0.01,1,1
lead ion transport (GO:0015692),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
hydrogen sulfide metabolic process (GO:0070813),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,5,2.83,+,1.76,0.512,1,2,0.05,+,39.82,0.002,1
piecemeal microautophagy of the nucleus (GO:0034727),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
cellular response to calcium ion (GO:0071277),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
protein N-linked glycosylation via asparagine (GO:0018279),5,3,2.99,+,1,1,1,0,1.79,-, < 0.01,0.335,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
L-methionine salvage (GO:0071267),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
cellular response to carbon dioxide (GO:0071244),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
mitochondrion localization (GO:0051646),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
CTP biosynthetic process (GO:0006241),10,6,5.98,+,1,1,1,4,3.59,+,1.12,0.77,1,5,5.67,-,0.88,1,1,0,0.1,-, < 0.01,1,1
pyrimidine nucleoside metabolic process (GO:0006213),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
positive regulation of mitotic cell cycle phase transition (GO:1901992),10,6,5.98,+,1,1,1,3,3.59,-,0.84,1,1,5,5.67,-,0.88,1,1,0,0.1,-, < 0.01,1,1
positive regulation of cell cycle phase transition (GO:1901989),10,6,5.98,+,1,1,1,3,3.59,-,0.84,1,1,5,5.67,-,0.88,1,1,0,0.1,-, < 0.01,1,1
peptidyl-asparagine modification (GO:0018196),5,3,2.99,+,1,1,1,0,1.79,-, < 0.01,0.335,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
regulation of meiotic nuclear division (GO:0040020),10,6,5.98,+,1,1,1,3,3.59,-,0.84,1,1,5,5.67,-,0.88,1,1,0,0.1,-, < 0.01,1,1
regulation of defense response to fungus (GO:1900150),20,12,11.96,+,1,1,1,11,7.17,+,1.53,0.306,1,12,11.34,+,1.06,0.856,1,0,0.2,-, < 0.01,1,1
Unclassified (UNCLASSIFIED),2140,1284,1279.73,+,1,0.923,1,750,767.44,-,0.98,0.564,1,1189,1213.07,-,0.98,0.554,1,15,21.5,-,0.7,0.153,1
regulation of histone H3-K9 dimethylation (GO:1900109),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,2,2.83,-,0.71,1,1,0,0.05,-, < 0.01,1,1
regulation of peroxisome size (GO:0044375),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,2,2.83,-,0.71,1,1,0,0.05,-, < 0.01,1,1
CUT metabolic process (GO:0071043),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
CUT catabolic process (GO:0071034),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
karyogamy (GO:0000741),20,12,11.96,+,1,1,1,12,7.17,+,1.67,0.162,1,12,11.34,+,1.06,0.856,1,0,0.2,-, < 0.01,1,1
positive regulation of cellular response to heat (GO:1900036),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,2,2.83,-,0.71,1,1,0,0.05,-, < 0.01,1,1
inositol metabolic process (GO:0006020),15,9,8.97,+,1,1,1,10,5.38,+,1.86,0.17,1,9,8.5,+,1.06,1,1,0,0.15,-, < 0.01,1,1
one-carbon compound transport (GO:0019755),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
positive regulation of flavonoid biosynthetic process (GO:0009963),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
regulation of lipid catabolic process (GO:0050994),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,5,2.83,+,1.76,0.512,1,0,0.05,-, < 0.01,1,1
regulation of microtubule cytoskeleton organization (GO:0070507),15,9,8.97,+,1,1,1,2,5.38,-,0.37,0.269,1,8,8.5,-,0.94,1,1,0,0.15,-, < 0.01,1,1
acylglycerol biosynthetic process (GO:0046463),15,9,8.97,+,1,1,1,5,5.38,-,0.93,1,1,8,8.5,-,0.94,1,1,0,0.15,-, < 0.01,1,1
neutral lipid biosynthetic process (GO:0046460),15,9,8.97,+,1,1,1,5,5.38,-,0.93,1,1,8,8.5,-,0.94,1,1,0,0.15,-, < 0.01,1,1
ncRNA 5'-end processing (GO:0034471),10,6,5.98,+,1,1,1,4,3.59,+,1.12,0.77,1,4,5.67,-,0.71,0.782,1,0,0.1,-, < 0.01,1,1
positive regulation of transferase activity (GO:0051347),20,12,11.96,+,1,1,1,5,7.17,-,0.7,0.65,1,10,11.34,-,0.88,0.85,1,0,0.2,-, < 0.01,1,1
regulation of organelle assembly (GO:1902115),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,2,2.83,-,0.71,1,1,0,0.05,-, < 0.01,1,1
regulation of morphogenesis of a branching structure (GO:0060688),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
determination of bilateral symmetry (GO:0009855),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,2,2.83,-,0.71,1,1,0,0.05,-, < 0.01,1,1
plant-type cell wall loosening (GO:0009828),15,9,8.97,+,1,1,1,4,5.38,-,0.74,0.796,1,11,8.5,+,1.29,0.543,1,1,0.15,+,6.64,0.148,1
regulation of ER to Golgi vesicle-mediated transport (GO:0060628),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,2,2.83,-,0.71,1,1,0,0.05,-, < 0.01,1,1
cell junction organization (GO:0034330),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
rhamnogalacturonan I metabolic process (GO:0010395),5,3,2.99,+,1,1,1,0,1.79,-, < 0.01,0.335,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
regulation of gibberellin biosynthetic process (GO:0010371),5,3,2.99,+,1,1,1,0,1.79,-, < 0.01,0.335,1,2,2.83,-,0.71,1,1,0,0.05,-, < 0.01,1,1
post-translational protein modification (GO:0043687),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
leaf shaping (GO:0010358),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,1,2.83,-,0.35,0.428,1,0,0.05,-, < 0.01,1,1
singlet oxygen-mediated programmed cell death (GO:0010343),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
regulation of vegetative phase change (GO:0010321),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
positive regulation of mRNA catabolic process (GO:0061014),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
specification of symmetry (GO:0009799),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,2,2.83,-,0.71,1,1,0,0.05,-, < 0.01,1,1
regulation of seed growth (GO:0080113),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
negative regulation of immune response (GO:0050777),20,12,11.96,+,1,1,1,7,7.17,-,0.98,1,1,13,11.34,+,1.15,0.719,1,0,0.2,-, < 0.01,1,1
L-methionine salvage from methylthioadenosine (GO:0019509),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
intermembrane lipid transfer (GO:0120009),5,3,2.99,+,1,1,1,0,1.79,-, < 0.01,0.335,1,2,2.83,-,0.71,1,1,0,0.05,-, < 0.01,1,1
positive regulation of cellular amide metabolic process (GO:0034250),20,12,11.96,+,1,1,1,8,7.17,+,1.12,0.83,1,12,11.34,+,1.06,0.856,1,0,0.2,-, < 0.01,1,1
regulation of post-embryonic root development (GO:2000069),10,6,5.98,+,1,1,1,3,3.59,-,0.84,1,1,4,5.67,-,0.71,0.782,1,0,0.1,-, < 0.01,1,1
regulation of secondary shoot formation (GO:2000032),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
small nucleolar ribonucleoprotein complex assembly (GO:0000491),5,3,2.99,+,1,1,1,4,1.79,+,2.23,0.256,1,1,2.83,-,0.35,0.428,1,0,0.05,-, < 0.01,1,1
positive regulation of DNA repair (GO:0045739),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
guard mother cell cytokinesis (GO:0010235),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
positive regulation of translation (GO:0045727),20,12,11.96,+,1,1,1,8,7.17,+,1.12,0.83,1,12,11.34,+,1.06,0.856,1,0,0.2,-, < 0.01,1,1
positive regulation of GTPase activity (GO:0043547),20,12,11.96,+,1,1,1,9,7.17,+,1.25,0.534,1,8,11.34,-,0.71,0.439,1,0,0.2,-, < 0.01,1,1
integument development (GO:0080060),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,1,2.83,-,0.35,0.428,1,0,0.05,-, < 0.01,1,1
amyloplast organization (GO:0009660),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,2,2.83,-,0.71,1,1,0,0.05,-, < 0.01,1,1
response to herbicide (GO:0009635),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,2,2.83,-,0.71,1,1,0,0.05,-, < 0.01,1,1
mucilage biosynthetic process involved in seed coat development (GO:0048354),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
epithelium development (GO:0060429),15,9,8.97,+,1,1,1,4,5.38,-,0.74,0.796,1,11,8.5,+,1.29,0.543,1,0,0.15,-, < 0.01,1,1
organ boundary specification between lateral organs and the meristem (GO:0010199),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
polar nucleus fusion (GO:0010197),20,12,11.96,+,1,1,1,12,7.17,+,1.67,0.162,1,12,11.34,+,1.06,0.856,1,0,0.2,-, < 0.01,1,1
positive regulation of helicase activity (GO:0051096),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,2,2.83,-,0.71,1,1,0,0.05,-, < 0.01,1,1
anthocyanin accumulation in tissues in response to UV light (GO:0043481),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
pigment accumulation in tissues (GO:0043480),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
pigment accumulation in tissues in response to UV light (GO:0043479),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
"alternative mRNA splicing, via spliceosome (GO:0000380)",10,6,5.98,+,1,1,1,2,3.59,-,0.56,0.743,1,5,5.67,-,0.88,1,1,0,0.1,-, < 0.01,1,1
pigment accumulation in response to UV light (GO:0043478),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
pigment accumulation (GO:0043476),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
pigmentation (GO:0043473),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
negative regulation of lipid biosynthetic process (GO:0051055),10,6,5.98,+,1,1,1,3,3.59,-,0.84,1,1,7,5.67,+,1.23,0.801,1,0,0.1,-, < 0.01,1,1
cellular alkane metabolic process (GO:0043446),5,3,2.99,+,1,1,1,4,1.79,+,2.23,0.256,1,3,2.83,+,1.06,1,1,1,0.05,+,19.91,0.0582,1
positive regulation of MAPK cascade (GO:0043410),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
positive regulation of MAP kinase activity (GO:0043406),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
nicotinamide nucleotide biosynthetic process (GO:0019359),10,6,5.98,+,1,1,1,3,3.59,-,0.84,1,1,5,5.67,-,0.88,1,1,0,0.1,-, < 0.01,1,1
modified amino acid transport (GO:0072337),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
regulation of ATP metabolic process (GO:1903578),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
oxylipin metabolic process (GO:0031407),15,9,8.97,+,1,1,1,7,5.38,+,1.3,0.628,1,10,8.5,+,1.18,0.682,1,1,0.15,+,6.64,0.148,1
vesicle uncoating (GO:0072319),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
clathrin coat disassembly (GO:0072318),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
hexose catabolic process (GO:0019320),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
adenine biosynthetic process (GO:0046084),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
adenine metabolic process (GO:0046083),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
potassium ion transmembrane transport (GO:0071805),25,15,14.95,+,1,1,1,8,8.97,-,0.89,1,1,14,14.17,-,0.99,1,1,0,0.25,-, < 0.01,1,1
water-soluble vitamin metabolic process (GO:0006767),45,27,26.91,+,1,1,1,22,16.14,+,1.36,0.266,1,28,25.51,+,1.1,0.715,1,2,0.45,+,4.42,0.0794,1
mitochondrial ATP synthesis coupled electron transport (GO:0042775),25,15,14.95,+,1,1,1,9,8.97,+,1,1,1,16,14.17,+,1.13,0.746,1,0,0.25,-, < 0.01,1,1
transition metal ion transport (GO:0000041),45,27,26.91,+,1,1,1,17,16.14,+,1.05,0.885,1,32,25.51,+,1.25,0.343,1,0,0.45,-, < 0.01,1,1
cellular response to red or far red light (GO:0071489),35,21,20.93,+,1,1,1,15,12.55,+,1.2,0.525,1,19,19.84,-,0.96,1,1,0,0.35,-, < 0.01,1,1
regulation of auxin mediated signaling pathway (GO:0010928),25,15,14.95,+,1,1,1,9,8.97,+,1,1,1,13,14.17,-,0.92,0.867,1,0,0.25,-, < 0.01,1,1
regulation of cellular component size (GO:0032535),50,30,29.9,+,1,1,1,14,17.93,-,0.78,0.479,1,31,28.34,+,1.09,0.729,1,0,0.5,-, < 0.01,1,1
regulation of anatomical structure size (GO:0090066),50,30,29.9,+,1,1,1,14,17.93,-,0.78,0.479,1,31,28.34,+,1.09,0.729,1,0,0.5,-, < 0.01,1,1
jasmonic acid mediated signaling pathway (GO:0009867),50,30,29.9,+,1,1,1,23,17.93,+,1.28,0.351,1,31,28.34,+,1.09,0.729,1,0,0.5,-, < 0.01,1,1
cell recognition (GO:0008037),35,21,20.93,+,1,1,1,16,12.55,+,1.27,0.427,1,20,19.84,+,1.01,1,1,0,0.35,-, < 0.01,1,1
maintenance of location (GO:0051235),35,21,20.93,+,1,1,1,9,12.55,-,0.72,0.493,1,21,19.84,+,1.06,0.889,1,0,0.35,-, < 0.01,1,1
root hair cell development (GO:0080147),55,33,32.89,+,1,1,1,14,19.72,-,0.71,0.276,1,32,31.18,+,1.03,0.911,1,0,0.55,-, < 0.01,1,1
regulation of cellular amide metabolic process (GO:0034248),70,42,41.86,+,1,1,1,23,25.1,-,0.92,0.814,1,39,39.68,-,0.98,1,1,0,0.7,-, < 0.01,1,1
photoperiodism (GO:0009648),65,39,38.87,+,1,1,1,21,23.31,-,0.9,0.806,1,39,36.85,+,1.06,0.76,1,0,0.65,-, < 0.01,1,1
post-embryonic development (GO:0009791),977,586,584.25,+,1,0.957,1,359,350.37,+,1.02,0.675,1,559,553.82,+,1.01,0.868,1,6,9.81,-,0.61,0.244,1
shoot system development (GO:0048367),442,265,264.32,+,1,0.968,1,164,158.51,+,1.03,0.708,1,248,250.55,-,0.99,0.936,1,4,4.44,-,0.9,1,1
cellular metabolic process (GO:0044237),4763,2854,2848.3,+,1,0.917,1,1748,1708.09,+,1.02,0.303,1,2739,2699.94,+,1.01,0.457,1,43,47.85,-,0.9,0.41,1
organic substance metabolic process (GO:0071704),4814,2884,2878.8,+,1,0.929,1,1738,1726.38,+,1.01,0.763,1,2741,2728.85,+,1,0.82,1,40,48.36,-,0.83,0.144,1
organic substance transport (GO:0071702),626,375,374.35,+,1,0.973,1,239,224.49,+,1.06,0.406,1,347,354.85,-,0.98,0.758,1,7,6.29,+,1.11,0.682,1
protein targeting (GO:0006605),167,100,99.87,+,1,1,1,54,59.89,-,0.9,0.54,1,98,94.66,+,1.04,0.797,1,1,1.68,-,0.6,1,1
biological_process (GO:0008150),10701,6395,6399.27,-,1,0.923,1,3855,3837.56,+,1,0.564,1,6090,6065.93,+,1,0.554,1,114,107.5,+,1.06,0.153,1
macromolecule localization (GO:0033036),579,346,346.25,-,1,1,1,201,207.64,-,0.97,0.708,1,316,328.21,-,0.96,0.594,1,4,5.82,-,0.69,0.666,1
vacuolar transport (GO:0007034),77,46,46.05,-,1,1,1,25,27.61,-,0.91,0.736,1,39,43.65,-,0.89,0.628,1,0,0.77,-, < 0.01,1,1
biological regulation (GO:0065007),3191,1906,1908.24,-,1,0.973,1,1126,1144.35,-,0.98,0.605,1,1818,1808.84,+,1.01,0.852,1,27,32.06,-,0.84,0.356,1
chemical homeostasis (GO:0048878),248,148,148.31,-,1,1,1,97,88.94,+,1.09,0.46,1,153,140.58,+,1.09,0.402,1,2,2.49,-,0.8,1,1
regulation of biological quality (GO:0065008),585,349,349.83,-,1,1,1,216,209.79,+,1.03,0.712,1,348,331.61,+,1.05,0.464,1,8,5.88,+,1.36,0.391,1
endocytosis (GO:0006897),57,34,34.09,-,1,1,1,14,20.44,-,0.68,0.226,1,28,32.31,-,0.87,0.573,1,1,0.57,+,1.75,0.441,1
developmental process (GO:0032502),1835,1094,1097.34,-,1,0.934,1,651,658.06,-,0.99,0.806,1,1040,1040.18,-,1,1,1,18,18.43,-,0.98,1,1
response to UV-B (GO:0010224),52,31,31.1,-,1,1,1,24,18.65,+,1.29,0.299,1,30,29.48,+,1.02,1,1,1,0.52,+,1.91,0.412,1
multicellular organism development (GO:0007275),1545,921,923.92,-,1,0.947,1,554,554.06,-,1,1,1,866,875.79,-,0.99,0.786,1,12,15.52,-,0.77,0.414,1
regulation of response to stimulus (GO:0048583),458,273,273.89,-,1,1,1,170,164.25,+,1.04,0.712,1,266,259.62,+,1.02,0.753,1,2,4.6,-,0.43,0.333,1
protein import (GO:0017038),99,59,59.2,-,1,1,1,33,35.5,-,0.93,0.767,1,52,56.12,-,0.93,0.672,1,0,0.99,-, < 0.01,0.629,1
anatomical structure development (GO:0048856),1761,1049,1053.09,-,1,0.933,1,625,631.52,-,0.99,0.822,1,997,998.23,-,1,0.983,1,17,17.69,-,0.96,1,1
nitrogen compound transport (GO:0071705),539,321,322.33,-,1,0.971,1,199,193.29,+,1.03,0.733,1,295,305.54,-,0.97,0.633,1,5,5.41,-,0.92,1,1
ATP metabolic process (GO:0046034),84,50,50.23,-,1,1,1,32,30.12,+,1.06,0.752,1,56,47.62,+,1.18,0.377,1,2,0.84,+,2.37,0.211,1
regulation of cell division (GO:0051302),42,25,25.12,-,1,1,1,8,15.06,-,0.53,0.108,1,21,23.81,-,0.88,0.695,1,0,0.42,-, < 0.01,1,1
"regulation of mRNA splicing, via spliceosome (GO:0048024)",37,22,22.13,-,0.99,1,1,11,13.27,-,0.83,0.743,1,19,20.97,-,0.91,0.782,1,0,0.37,-, < 0.01,1,1
nucleus organization (GO:0006997),37,22,22.13,-,0.99,1,1,16,13.27,+,1.21,0.534,1,22,20.97,+,1.05,0.892,1,0,0.37,-, < 0.01,1,1
regulation of transport (GO:0051049),74,44,44.25,-,0.99,1,1,27,26.54,+,1.02,0.91,1,40,41.95,-,0.95,0.846,1,1,0.74,+,1.35,0.529,1
organonitrogen compound biosynthetic process (GO:1901566),850,505,508.31,-,0.99,0.931,1,319,304.82,+,1.05,0.471,1,468,481.83,-,0.97,0.614,1,7,8.54,-,0.82,0.722,1
multicellular organismal process (GO:0032501),1701,1010,1017.21,-,0.99,0.865,1,611,610.01,+,1,0.98,1,952,964.22,-,0.99,0.745,1,13,17.09,-,0.76,0.36,1
positive regulation of post-embryonic development (GO:0048582),59,35,35.28,-,0.99,1,1,22,21.16,+,1.04,0.9,1,36,33.44,+,1.08,0.749,1,0,0.59,-, < 0.01,1,1
protein localization (GO:0008104),484,287,289.44,-,0.99,0.94,1,161,173.57,-,0.93,0.413,1,263,274.36,-,0.96,0.587,1,4,4.86,-,0.82,1,1
primary metabolic process (GO:0044238),4436,2629,2652.76,-,0.99,0.66,1,1562,1590.82,-,0.98,0.448,1,2501,2514.57,-,0.99,0.793,1,36,44.56,-,0.81,0.136,1
positive regulation of protein-containing complex assembly (GO:0031334),27,16,16.15,-,0.99,1,1,7,9.68,-,0.72,0.56,1,16,15.31,+,1.05,0.875,1,0,0.27,-, < 0.01,1,1
negative regulation of response to stimulus (GO:0048585),152,90,90.9,-,0.99,1,1,55,54.51,+,1.01,0.937,1,90,86.16,+,1.04,0.737,1,1,1.53,-,0.65,1,1
plant organ formation (GO:1905393),66,39,39.47,-,0.99,1,1,19,23.67,-,0.8,0.46,1,37,37.41,-,0.99,1,1,0,0.66,-, < 0.01,1,1
mitochondrial RNA modification (GO:1900864),22,13,13.16,-,0.99,1,1,6,7.89,-,0.76,0.671,1,15,12.47,+,1.2,0.609,1,0,0.22,-, < 0.01,1,1
regulation of GTPase activity (GO:0043087),22,13,13.16,-,0.99,1,1,10,7.89,+,1.27,0.548,1,9,12.47,-,0.72,0.459,1,0,0.22,-, < 0.01,1,1
embryo sac central cell differentiation (GO:0009559),22,13,13.16,-,0.99,1,1,12,7.89,+,1.52,0.245,1,13,12.47,+,1.04,1,1,0,0.22,-, < 0.01,1,1
response to auxin (GO:0009733),166,98,99.27,-,0.99,0.949,1,61,59.53,+,1.02,0.88,1,94,94.1,-,1,1,1,3,1.67,+,1.8,0.237,1
regulation of intracellular signal transduction (GO:1902531),39,23,23.32,-,0.99,1,1,15,13.99,+,1.07,0.877,1,21,22.11,-,0.95,0.894,1,0,0.39,-, < 0.01,1,1
circadian rhythm (GO:0007623),78,46,46.64,-,0.99,1,1,24,27.97,-,0.86,0.574,1,45,44.21,+,1.02,0.925,1,3,0.78,+,3.83,0.0468,1
rhythmic process (GO:0048511),78,46,46.64,-,0.99,1,1,24,27.97,-,0.86,0.574,1,45,44.21,+,1.02,0.925,1,3,0.78,+,3.83,0.0468,1
positive regulation of protein modification process (GO:0031401),39,23,23.32,-,0.99,1,1,9,13.99,-,0.64,0.255,1,20,22.11,-,0.9,0.787,1,0,0.39,-, < 0.01,1,1
reproductive system development (GO:0061458),792,467,473.62,-,0.99,0.81,1,284,284.02,-,1,1,1,445,448.95,-,0.99,0.903,1,6,7.96,-,0.75,0.583,1
reproductive structure development (GO:0048608),792,467,473.62,-,0.99,0.81,1,284,284.02,-,1,1,1,445,448.95,-,0.99,0.903,1,6,7.96,-,0.75,0.583,1
regulation of cellular protein metabolic process (GO:0032268),212,125,126.78,-,0.99,0.955,1,60,76.03,-,0.79,0.111,1,119,120.17,-,0.99,0.954,1,0,2.13,-, < 0.01,0.279,1
organophosphate metabolic process (GO:0019637),397,234,237.41,-,0.99,0.867,1,158,142.37,+,1.11,0.261,1,233,225.04,+,1.04,0.674,1,7,3.99,+,1.76,0.125,1
