GO biological process complete,allexp_forGO.txt - REFLIST (12841),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR),plastic32up.txt (4014),plastic32up.txt (expected),plastic32up.txt (over/under),plastic32up.txt (fold Enrichment),plastic32up.txt (raw P-value),plastic32up.txt (FDR),plastic8up.txt (2465),plastic8up.txt (expected),plastic8up.txt (over/under),plastic8up.txt (fold Enrichment),plastic8up.txt (raw P-value),plastic8up.txt (FDR),plastic32down.txt (3826),plastic32down.txt (expected),plastic32down.txt (over/under),plastic32down.txt (fold Enrichment),plastic32down.txt (raw P-value),plastic32down.txt (FDR)
positive regulation of mitotic nuclear division (GO:0045840),7,4,4.19,-,0.96,1,1,2,2.19,-,0.91,1,1,2,1.34,+,1.49,0.644,1,1,2.09,-,0.48,0.691,1
positive regulation of protein transport (GO:0051222),7,4,4.19,-,0.96,1,1,3,2.19,+,1.37,0.71,1,1,1.34,-,0.74,1,1,0,2.09,-, < 0.01,0.363,1
developmental vegetative growth (GO:0080186),7,4,4.19,-,0.96,1,1,4,2.19,+,1.83,0.305,1,3,1.34,+,2.23,0.209,1,1,2.09,-,0.48,0.691,1
pyrimidine-containing compound catabolic process (GO:0072529),7,4,4.19,-,0.96,1,1,4,2.19,+,1.83,0.305,1,0,1.34,-, < 0.01,0.607,1,2,2.09,-,0.96,1,1
divalent inorganic anion homeostasis (GO:0072505),14,8,8.37,-,0.96,1,1,8,4.38,+,1.83,0.207,1,3,2.69,+,1.12,0.747,1,3,4.17,-,0.72,0.777,1
response to cytokinin (GO:0009735),56,32,33.49,-,0.96,0.912,1,15,17.51,-,0.86,0.676,1,7,10.75,-,0.65,0.389,1,16,16.69,-,0.96,1,1
abscisic acid biosynthetic process (GO:0009688),7,4,4.19,-,0.96,1,1,1,2.19,-,0.46,0.689,1,0,1.34,-, < 0.01,0.607,1,3,2.09,+,1.44,0.706,1
positive regulation of chromosome separation (GO:1905820),7,4,4.19,-,0.96,1,1,2,2.19,-,0.91,1,1,2,1.34,+,1.49,0.644,1,1,2.09,-,0.48,0.691,1
response to X-ray (GO:0010165),7,4,4.19,-,0.96,1,1,1,2.19,-,0.46,0.689,1,1,1.34,-,0.74,1,1,1,2.09,-,0.48,0.691,1
proton-transporting ATP synthase complex assembly (GO:0043461),7,4,4.19,-,0.96,1,1,1,2.19,-,0.46,0.689,1,1,1.34,-,0.74,1,1,3,2.09,+,1.44,0.706,1
sulfur compound transport (GO:0072348),14,8,8.37,-,0.96,1,1,4,4.38,-,0.91,1,1,4,2.69,+,1.49,0.516,1,5,4.17,+,1.2,0.785,1
oxylipin biosynthetic process (GO:0031408),14,8,8.37,-,0.96,1,1,4,4.38,-,0.91,1,1,2,2.69,-,0.74,1,1,7,4.17,+,1.68,0.296,1
intracellular protein transport (GO:0006886),361,206,215.88,-,0.95,0.598,1,120,112.85,+,1.06,0.55,1,52,69.3,-,0.75,0.049,0.819,80,107.56,-,0.74,0.0158,0.771
positive regulation of cellular metabolic process (GO:0031325),398,227,238.01,-,0.95,0.585,1,114,124.41,-,0.92,0.429,1,91,76.4,+,1.19,0.133,1,105,118.58,-,0.89,0.282,1
positive regulation of nitrogen compound metabolic process (GO:0051173),360,205,215.28,-,0.95,0.597,1,104,112.53,-,0.92,0.507,1,85,69.11,+,1.23,0.0885,1,89,107.26,-,0.83,0.112,1
cellular component organization (GO:0016043),1596,908,954.42,-,0.95,0.201,1,384,498.9,-,0.77,5.66E-07,0.000147,229,306.37,-,0.75,7.29E-06,0.000694,520,475.53,+,1.09,0.06,1
second-messenger-mediated signaling (GO:0019932),37,21,22.13,-,0.95,0.893,1,14,11.57,+,1.21,0.514,1,10,7.1,+,1.41,0.321,1,9,11.02,-,0.82,0.726,1
ERAD pathway (GO:0036503),37,21,22.13,-,0.95,0.893,1,18,11.57,+,1.56,0.152,1,8,7.1,+,1.13,0.688,1,2,11.02,-,0.18,0.00638,0.479
ubiquitin-dependent ERAD pathway (GO:0030433),30,17,17.94,-,0.95,1,1,13,9.38,+,1.39,0.369,1,4,5.76,-,0.69,0.643,1,2,8.94,-,0.22,0.0202,0.868
auxin-activated signaling pathway (GO:0009734),30,17,17.94,-,0.95,1,1,8,9.38,-,0.85,0.849,1,3,5.76,-,0.52,0.349,1,9,8.94,+,1.01,1,1
"photoperiodism, flowering (GO:0048573)",53,30,31.69,-,0.95,0.91,1,18,16.57,+,1.09,0.78,1,12,10.17,+,1.18,0.611,1,15,15.79,-,0.95,1,1
response to zinc ion (GO:0010043),23,13,13.75,-,0.95,1,1,11,7.19,+,1.53,0.232,1,2,4.42,-,0.45,0.413,1,5,6.85,-,0.73,0.656,1
regulation of programmed cell death (GO:0043067),46,26,27.51,-,0.95,0.903,1,22,14.38,+,1.53,0.115,1,10,8.83,+,1.13,0.715,1,10,13.71,-,0.73,0.428,1
establishment of protein localization to organelle (GO:0072594),184,104,110.03,-,0.95,0.668,1,52,57.52,-,0.9,0.59,1,19,35.32,-,0.54,0.00691,0.213,49,54.82,-,0.89,0.53,1
detection of abiotic stimulus (GO:0009582),23,13,13.75,-,0.95,1,1,7,7.19,-,0.97,1,1,4,4.42,-,0.91,1,1,7,6.85,+,1.02,1,1
detection of external stimulus (GO:0009581),23,13,13.75,-,0.95,1,1,7,7.19,-,0.97,1,1,4,4.42,-,0.91,1,1,7,6.85,+,1.02,1,1
cell differentiation (GO:0030154),338,191,202.13,-,0.94,0.554,1,94,105.66,-,0.89,0.331,1,53,64.88,-,0.82,0.185,1,99,100.71,-,0.98,0.908,1
RNA biosynthetic process (GO:0032774),156,88,93.29,-,0.94,0.69,1,36,48.76,-,0.74,0.105,1,29,29.95,-,0.97,1,1,44,46.48,-,0.95,0.8,1
dephosphorylation (GO:0016311),126,71,75.35,-,0.94,0.712,1,42,39.39,+,1.07,0.716,1,23,24.19,-,0.95,0.911,1,35,37.54,-,0.93,0.778,1
cellular response to organic cyclic compound (GO:0071407),71,40,42.46,-,0.94,0.844,1,26,22.19,+,1.17,0.475,1,20,13.63,+,1.47,0.151,1,16,21.15,-,0.76,0.371,1
positive regulation of macromolecule metabolic process (GO:0010604),380,214,227.24,-,0.94,0.491,1,104,118.79,-,0.88,0.234,1,88,72.95,+,1.21,0.11,1,92,113.22,-,0.81,0.0754,1
establishment of localization in cell (GO:0051649),515,290,307.97,-,0.94,0.414,1,164,160.99,+,1.02,0.818,1,77,98.86,-,0.78,0.0399,0.716,117,153.45,-,0.76,0.00686,0.502
"positive regulation of transcription, DNA-templated (GO:0045893)",240,135,143.52,-,0.94,0.59,1,66,75.02,-,0.88,0.379,1,59,46.07,+,1.28,0.0947,1,57,71.51,-,0.8,0.126,1
negative regulation of reproductive process (GO:2000242),48,27,28.7,-,0.94,0.905,1,15,15,-,1,1,1,11,9.21,+,1.19,0.594,1,12,14.3,-,0.84,0.648,1
Golgi to vacuole transport (GO:0006896),16,9,9.57,-,0.94,1,1,4,5,-,0.8,0.799,1,1,3.07,-,0.33,0.504,1,1,4.77,-,0.21,0.145,1
positive regulation of seed germination (GO:0010030),16,9,9.57,-,0.94,1,1,8,5,+,1.6,0.335,1,5,3.07,+,1.63,0.367,1,2,4.77,-,0.42,0.398,1
regulation of mitotic nuclear division (GO:0007088),16,9,9.57,-,0.94,1,1,4,5,-,0.8,0.799,1,3,3.07,-,0.98,1,1,3,4.77,-,0.63,0.592,1
regulation of DNA endoreduplication (GO:0032875),16,9,9.57,-,0.94,1,1,4,5,-,0.8,0.799,1,4,3.07,+,1.3,0.55,1,3,4.77,-,0.63,0.592,1
response to endoplasmic reticulum stress (GO:0034976),64,36,38.27,-,0.94,0.836,1,32,20.01,+,1.6,0.0401,0.776,15,12.29,+,1.22,0.446,1,6,19.07,-,0.31,0.00254,0.315
regulation of cell shape (GO:0008360),16,9,9.57,-,0.94,1,1,2,5,-,0.4,0.274,1,2,3.07,-,0.65,0.755,1,6,4.77,+,1.26,0.615,1
oxidative phosphorylation (GO:0006119),32,18,19.14,-,0.94,0.885,1,19,10,+,1.9,0.0313,0.672,5,6.14,-,0.81,0.824,1,2,9.53,-,0.21,0.0136,0.7
negative gravitropism (GO:0009959),16,9,9.57,-,0.94,1,1,3,5,-,0.6,0.591,1,3,3.07,-,0.98,1,1,4,4.77,-,0.84,1,1
modulation by symbiont of host process (GO:0044003),16,9,9.57,-,0.94,1,1,8,5,+,1.6,0.335,1,5,3.07,+,1.63,0.367,1,2,4.77,-,0.42,0.398,1
phototropism (GO:0009638),16,9,9.57,-,0.94,1,1,3,5,-,0.6,0.591,1,1,3.07,-,0.33,0.504,1,6,4.77,+,1.26,0.615,1
polyol catabolic process (GO:0046174),16,9,9.57,-,0.94,1,1,4,5,-,0.8,0.799,1,1,3.07,-,0.33,0.504,1,6,4.77,+,1.26,0.615,1
vesicle budding from membrane (GO:0006900),32,18,19.14,-,0.94,0.885,1,17,10,+,1.7,0.0912,1,11,6.14,+,1.79,0.0967,1,5,9.53,-,0.52,0.239,1
cellular component organization or biogenesis (GO:0071840),1850,1038,1106.31,-,0.94,0.0779,1,433,578.3,-,0.75,2.63E-09,2.51E-06,288,355.13,-,0.81,0.000297,0.0165,578,551.21,+,1.05,0.285,1
mitochondrial RNA metabolic process (GO:0000959),41,23,24.52,-,0.94,0.897,1,8,12.82,-,0.62,0.244,1,8,7.87,+,1.02,1,1,17,12.22,+,1.39,0.273,1
lipid modification (GO:0030258),82,46,49.04,-,0.94,0.784,1,36,25.63,+,1.4,0.103,1,14,15.74,-,0.89,0.781,1,24,24.43,-,0.98,1,1
intracellular transport (GO:0046907),489,274,292.43,-,0.94,0.402,1,159,152.86,+,1.04,0.672,1,75,93.87,-,0.8,0.0702,1,106,145.7,-,0.73,0.00207,0.302
positive regulation of RNA metabolic process (GO:0051254),257,144,153.69,-,0.94,0.567,1,71,80.34,-,0.88,0.395,1,66,49.33,+,1.34,0.0385,0.7,63,76.57,-,0.82,0.179,1
regulation of cytoskeleton organization (GO:0051493),50,28,29.9,-,0.94,0.816,1,10,15.63,-,0.64,0.226,1,3,9.6,-,0.31,0.038,0.696,22,14.9,+,1.48,0.124,1
organic cyclic compound metabolic process (GO:1901360),1807,1011,1080.6,-,0.94,0.0683,1,456,564.85,-,0.81,8.29E-06,0.00113,333,346.88,-,0.96,0.485,1,537,538.4,-,1,0.979,1
negative regulation of biosynthetic process (GO:0009890),236,132,141.13,-,0.94,0.55,1,79,73.77,+,1.07,0.593,1,56,45.3,+,1.24,0.148,1,58,70.32,-,0.82,0.208,1
reproduction (GO:0000003),1089,609,651.23,-,0.94,0.173,1,287,340.41,-,0.84,0.00677,0.228,197,209.05,-,0.94,0.451,1,347,324.47,+,1.07,0.264,1
respiratory electron transport chain (GO:0022904),34,19,20.33,-,0.93,0.888,1,20,10.63,+,1.88,0.0357,0.721,5,6.53,-,0.77,0.827,1,3,10.13,-,0.3,0.0304,1
cellular response to gibberellin stimulus (GO:0071370),34,19,20.33,-,0.93,0.888,1,11,10.63,+,1.03,0.863,1,7,6.53,+,1.07,0.832,1,10,10.13,-,0.99,1,1
positive regulation of nucleobase-containing compound metabolic process (GO:0045935),272,152,162.66,-,0.93,0.51,1,74,85.03,-,0.87,0.308,1,68,52.21,+,1.3,0.0523,0.84,66,81.04,-,0.81,0.133,1
regulation of protein modification process (GO:0031399),120,67,71.76,-,0.93,0.704,1,34,37.51,-,0.91,0.704,1,16,23.04,-,0.69,0.197,1,39,35.75,+,1.09,0.636,1
protein processing (GO:0016485),43,24,25.71,-,0.93,0.899,1,16,13.44,+,1.19,0.542,1,3,8.25,-,0.36,0.104,1,11,12.81,-,0.86,0.747,1
anther development (GO:0048653),43,24,25.71,-,0.93,0.899,1,13,13.44,-,0.97,1,1,9,8.25,+,1.09,0.85,1,15,12.81,+,1.17,0.639,1
peptidyl-lysine modification (GO:0018205),95,53,56.81,-,0.93,0.733,1,27,29.7,-,0.91,0.749,1,21,18.24,+,1.15,0.527,1,30,28.31,+,1.06,0.75,1
positive regulation of RNA biosynthetic process (GO:1902680),242,135,144.72,-,0.93,0.555,1,66,75.65,-,0.87,0.345,1,59,46.46,+,1.27,0.0966,1,59,72.1,-,0.82,0.167,1
positive regulation of nucleic acid-templated transcription (GO:1903508),242,135,144.72,-,0.93,0.555,1,66,75.65,-,0.87,0.345,1,59,46.46,+,1.27,0.0966,1,59,72.1,-,0.82,0.167,1
protein-containing complex subunit organization (GO:0043933),427,238,255.35,-,0.93,0.392,1,103,133.48,-,0.77,0.017,0.461,62,81.97,-,0.76,0.0388,0.704,114,127.23,-,0.9,0.299,1
cellular component assembly (GO:0022607),567,316,339.07,-,0.93,0.32,1,141,177.24,-,0.8,0.0131,0.386,83,108.84,-,0.76,0.0189,0.446,154,168.94,-,0.91,0.319,1
reproductive process (GO:0022414),1082,603,647.04,-,0.93,0.149,1,285,338.23,-,0.84,0.00727,0.232,195,207.7,-,0.94,0.426,1,344,322.38,+,1.07,0.277,1
regulation of developmental process (GO:0050793),454,253,271.49,-,0.93,0.384,1,126,141.92,-,0.89,0.254,1,97,87.15,+,1.11,0.345,1,138,135.27,+,1.02,0.842,1
negative regulation of cellular process (GO:0048523),481,268,287.64,-,0.93,0.356,1,155,150.36,+,1.03,0.74,1,102,92.33,+,1.1,0.358,1,130,143.31,-,0.91,0.327,1
vesicle organization (GO:0016050),70,39,41.86,-,0.93,0.767,1,28,21.88,+,1.28,0.284,1,20,13.44,+,1.49,0.114,1,11,20.86,-,0.53,0.0465,1
positive regulation of metabolic process (GO:0009893),438,244,261.93,-,0.93,0.376,1,121,136.92,-,0.88,0.226,1,99,84.08,+,1.18,0.135,1,112,130.5,-,0.86,0.149,1
regulation of cell cycle (GO:0051726),149,83,89.1,-,0.93,0.633,1,39,46.58,-,0.84,0.344,1,16,28.6,-,0.56,0.0247,0.529,47,44.39,+,1.06,0.733,1
negative regulation of nitrogen compound metabolic process (GO:0051172),264,147,157.87,-,0.93,0.504,1,89,82.52,+,1.08,0.528,1,62,50.68,+,1.22,0.148,1,68,78.66,-,0.86,0.292,1
negative regulation of biological process (GO:0048519),732,407,437.74,-,0.93,0.231,1,231,228.82,+,1.01,0.907,1,156,140.52,+,1.11,0.221,1,192,218.1,-,0.88,0.108,1
protein-containing complex assembly (GO:0065003),376,209,224.85,-,0.93,0.41,1,90,117.53,-,0.77,0.0205,0.529,53,72.18,-,0.73,0.0328,0.633,96,112.03,-,0.86,0.183,1
negative regulation of supramolecular fiber organization (GO:1902904),9,5,5.38,-,0.93,1,1,2,2.81,-,0.71,1,1,1,1.73,-,0.58,1,1,4,2.68,+,1.49,0.512,1
negative regulation of transcription by RNA polymerase II (GO:0000122),18,10,10.76,-,0.93,1,1,6,5.63,+,1.07,0.814,1,6,3.46,+,1.74,0.261,1,5,5.36,-,0.93,1,1
response to molecule of fungal origin (GO:0002238),9,5,5.38,-,0.93,1,1,6,2.81,+,2.13,0.14,1,4,1.73,+,2.32,0.144,1,0,2.68,-, < 0.01,0.225,1
fatty acid transport (GO:0015908),9,5,5.38,-,0.93,1,1,3,2.81,+,1.07,1,1,1,1.73,-,0.58,1,1,3,2.68,+,1.12,0.744,1
guanosine-containing compound biosynthetic process (GO:1901070),9,5,5.38,-,0.93,1,1,4,2.81,+,1.42,0.523,1,3,1.73,+,1.74,0.424,1,1,2.68,-,0.37,0.472,1
valine catabolic process (GO:0006574),9,5,5.38,-,0.93,1,1,5,2.81,+,1.78,0.344,1,0,1.73,-, < 0.01,0.371,1,3,2.68,+,1.12,0.744,1
N-terminal protein amino acid acetylation (GO:0006474),9,5,5.38,-,0.93,1,1,1,2.81,-,0.36,0.469,1,0,1.73,-, < 0.01,0.371,1,3,2.68,+,1.12,0.744,1
regulation of translational initiation (GO:0006446),9,5,5.38,-,0.93,1,1,4,2.81,+,1.42,0.523,1,1,1.73,-,0.58,1,1,1,2.68,-,0.37,0.472,1
regulation of cell growth (GO:0001558),63,35,37.67,-,0.93,0.755,1,17,19.69,-,0.86,0.693,1,18,12.09,+,1.49,0.131,1,17,18.77,-,0.91,0.791,1
diterpenoid metabolic process (GO:0016101),18,10,10.76,-,0.93,1,1,6,5.63,+,1.07,0.814,1,3,3.46,-,0.87,1,1,7,5.36,+,1.31,0.633,1
organ growth (GO:0035265),9,5,5.38,-,0.93,1,1,1,2.81,-,0.36,0.469,1,2,1.73,+,1.16,0.694,1,1,2.68,-,0.37,0.472,1
protein insertion into mitochondrial inner membrane (GO:0045039),9,5,5.38,-,0.93,1,1,3,2.81,+,1.07,1,1,1,1.73,-,0.58,1,1,1,2.68,-,0.37,0.472,1
regulation of mitotic sister chromatid segregation (GO:0033047),9,5,5.38,-,0.93,1,1,2,2.81,-,0.71,1,1,1,1.73,-,0.58,1,1,2,2.68,-,0.75,1,1
regulation of sister chromatid segregation (GO:0033045),18,10,10.76,-,0.93,1,1,4,5.63,-,0.71,0.802,1,3,3.46,-,0.87,1,1,4,5.36,-,0.75,0.801,1
CDP-diacylglycerol biosynthetic process (GO:0016024),9,5,5.38,-,0.93,1,1,4,2.81,+,1.42,0.523,1,1,1.73,-,0.58,1,1,2,2.68,-,0.75,1,1
intracellular lipid transport (GO:0032365),9,5,5.38,-,0.93,1,1,3,2.81,+,1.07,1,1,0,1.73,-, < 0.01,0.371,1,3,2.68,+,1.12,0.744,1
protein import into mitochondrial matrix (GO:0030150),18,10,10.76,-,0.93,1,1,7,5.63,+,1.24,0.639,1,7,3.46,+,2.03,0.107,1,1,5.36,-,0.19,0.0966,1
negative regulation of cytoskeleton organization (GO:0051494),9,5,5.38,-,0.93,1,1,2,2.81,-,0.71,1,1,1,1.73,-,0.58,1,1,4,2.68,+,1.49,0.512,1
glucuronoxylan biosynthetic process (GO:0010417),9,5,5.38,-,0.93,1,1,2,2.81,-,0.71,1,1,2,1.73,+,1.16,0.694,1,2,2.68,-,0.75,1,1
glucuronoxylan metabolic process (GO:0010413),9,5,5.38,-,0.93,1,1,2,2.81,-,0.71,1,1,2,1.73,+,1.16,0.694,1,2,2.68,-,0.75,1,1
cell wall hydroxyproline-rich glycoprotein metabolic process (GO:0010404),9,5,5.38,-,0.93,1,1,1,2.81,-,0.36,0.469,1,1,1.73,-,0.58,1,1,5,2.68,+,1.86,0.335,1
auxin biosynthetic process (GO:0009851),9,5,5.38,-,0.93,1,1,2,2.81,-,0.71,1,1,1,1.73,-,0.58,1,1,3,2.68,+,1.12,0.744,1
glycosyl compound catabolic process (GO:1901658),9,5,5.38,-,0.93,1,1,5,2.81,+,1.78,0.344,1,2,1.73,+,1.16,0.694,1,3,2.68,+,1.12,0.744,1
CDP-diacylglycerol metabolic process (GO:0046341),9,5,5.38,-,0.93,1,1,4,2.81,+,1.42,0.523,1,1,1.73,-,0.58,1,1,2,2.68,-,0.75,1,1
diol biosynthetic process (GO:0034312),9,5,5.38,-,0.93,1,1,5,2.81,+,1.78,0.344,1,3,1.73,+,1.74,0.424,1,2,2.68,-,0.75,1,1
diol metabolic process (GO:0034311),9,5,5.38,-,0.93,1,1,5,2.81,+,1.78,0.344,1,3,1.73,+,1.74,0.424,1,2,2.68,-,0.75,1,1
cell wall proteoglycan metabolic process (GO:0010384),9,5,5.38,-,0.93,1,1,1,2.81,-,0.36,0.469,1,1,1.73,-,0.58,1,1,5,2.68,+,1.86,0.335,1
positive regulation of isoprenoid metabolic process (GO:0045828),9,5,5.38,-,0.93,1,1,2,2.81,-,0.71,1,1,0,1.73,-, < 0.01,0.371,1,2,2.68,-,0.75,1,1
photosynthetic electron transport in photosystem II (GO:0009772),9,5,5.38,-,0.93,1,1,0,2.81,-, < 0.01,0.127,1,0,1.73,-, < 0.01,0.371,1,5,2.68,+,1.86,0.335,1
cytokinin biosynthetic process (GO:0009691),9,5,5.38,-,0.93,1,1,2,2.81,-,0.71,1,1,2,1.73,+,1.16,0.694,1,3,2.68,+,1.12,0.744,1
regulation of cytokinin-activated signaling pathway (GO:0080036),9,5,5.38,-,0.93,1,1,2,2.81,-,0.71,1,1,0,1.73,-, < 0.01,0.371,1,1,2.68,-,0.37,0.472,1
nitrogen cycle metabolic process (GO:0071941),9,5,5.38,-,0.93,1,1,4,2.81,+,1.42,0.523,1,1,1.73,-,0.58,1,1,0,2.68,-, < 0.01,0.225,1
regulation of secondary metabolic process (GO:0043455),36,20,21.53,-,0.93,0.89,1,15,11.25,+,1.33,0.328,1,9,6.91,+,1.3,0.422,1,8,10.73,-,0.75,0.59,1
detection of light stimulus (GO:0009583),18,10,10.76,-,0.93,1,1,5,5.63,-,0.89,1,1,2,3.46,-,0.58,0.759,1,5,5.36,-,0.93,1,1
embryo sac development (GO:0009553),99,55,59.2,-,0.93,0.677,1,23,30.95,-,0.74,0.24,1,27,19,+,1.42,0.113,1,20,29.5,-,0.68,0.125,1
"regulation of development, heterochronic (GO:0040034)",27,15,16.15,-,0.93,0.874,1,5,8.44,-,0.59,0.405,1,4,5.18,-,0.77,0.808,1,10,8.04,+,1.24,0.558,1
negative regulation of macromolecule biosynthetic process (GO:0010558),216,120,129.17,-,0.93,0.532,1,73,67.52,+,1.08,0.577,1,54,41.46,+,1.3,0.0798,1,52,64.36,-,0.81,0.187,1
peptidyl-lysine methylation (GO:0018022),45,25,26.91,-,0.93,0.806,1,11,14.07,-,0.78,0.532,1,10,8.64,+,1.16,0.712,1,16,13.41,+,1.19,0.543,1
positive regulation of cell cycle (GO:0045787),27,15,16.15,-,0.93,0.874,1,7,8.44,-,0.83,0.84,1,5,5.18,-,0.96,1,1,8,8.04,-,0.99,1,1
response to far red light (GO:0010218),27,15,16.15,-,0.93,0.874,1,5,8.44,-,0.59,0.405,1,4,5.18,-,0.77,0.808,1,9,8.04,+,1.12,0.843,1
positive regulation of gene expression (GO:0010628),290,161,173.42,-,0.93,0.461,1,78,90.65,-,0.86,0.24,1,69,55.67,+,1.24,0.11,1,69,86.41,-,0.8,0.0988,1
cellular aromatic compound metabolic process (GO:0006725),1741,966,1041.13,-,0.93,0.0451,1,434,544.22,-,0.8,4.47E-06,0.000638,321,334.21,-,0.96,0.499,1,511,518.73,-,0.99,0.767,1
cellular developmental process (GO:0048869),393,218,235.02,-,0.93,0.373,1,105,122.85,-,0.85,0.15,1,65,75.44,-,0.86,0.273,1,117,117.1,-,1,1,1
negative regulation of RNA metabolic process (GO:0051253),184,102,110.03,-,0.93,0.58,1,64,57.52,+,1.11,0.453,1,49,35.32,+,1.39,0.0476,0.804,47,54.82,-,0.86,0.386,1
ncRNA metabolic process (GO:0034660),341,189,203.92,-,0.93,0.413,1,56,106.59,-,0.53,1.62E-06,0.000342,83,65.46,+,1.27,0.052,0.838,95,101.6,-,0.94,0.604,1
purine-containing compound biosynthetic process (GO:0072522),83,46,49.63,-,0.93,0.716,1,27,25.95,+,1.04,0.823,1,9,15.93,-,0.56,0.116,1,17,24.73,-,0.69,0.189,1
actin cytoskeleton organization (GO:0030036),65,36,38.87,-,0.93,0.758,1,14,20.32,-,0.69,0.234,1,8,12.48,-,0.64,0.266,1,31,19.37,+,1.6,0.0377,1
negative regulation of cellular biosynthetic process (GO:0031327),233,129,139.34,-,0.93,0.511,1,78,72.83,+,1.07,0.591,1,56,44.73,+,1.25,0.125,1,56,69.42,-,0.81,0.158,1
organelle organization (GO:0006996),1163,643,695.48,-,0.92,0.0979,1,270,363.55,-,0.74,2.52E-06,0.000423,166,223.25,-,0.74,0.000128,0.00793,374,346.52,+,1.08,0.181,1
regulation of shoot system development (GO:0048831),114,63,68.17,-,0.92,0.64,1,31,35.64,-,0.87,0.557,1,21,21.88,-,0.96,1,1,37,33.97,+,1.09,0.628,1
nucleic acid-templated transcription (GO:0097659),152,84,90.9,-,0.92,0.589,1,34,47.51,-,0.72,0.0831,1,28,29.18,-,0.96,0.919,1,43,45.29,-,0.95,0.798,1
"transcription, DNA-templated (GO:0006351)",152,84,90.9,-,0.92,0.589,1,34,47.51,-,0.72,0.0831,1,28,29.18,-,0.96,0.919,1,43,45.29,-,0.95,0.798,1
positive regulation of macromolecule biosynthetic process (GO:0010557),268,148,160.27,-,0.92,0.443,1,73,83.77,-,0.87,0.305,1,64,51.45,+,1.24,0.113,1,65,79.85,-,0.81,0.147,1
leaf morphogenesis (GO:0009965),67,37,40.07,-,0.92,0.761,1,17,20.94,-,0.81,0.521,1,13,12.86,+,1.01,1,1,15,19.96,-,0.75,0.358,1
metallo-sulfur cluster assembly (GO:0031163),29,16,17.34,-,0.92,0.878,1,11,9.07,+,1.21,0.579,1,4,5.57,-,0.72,0.812,1,6,8.64,-,0.69,0.547,1
iron-sulfur cluster assembly (GO:0016226),29,16,17.34,-,0.92,0.878,1,11,9.07,+,1.21,0.579,1,4,5.57,-,0.72,0.812,1,6,8.64,-,0.69,0.547,1
cellular response to steroid hormone stimulus (GO:0071383),29,16,17.34,-,0.92,0.878,1,10,9.07,+,1.1,0.851,1,10,5.57,+,1.8,0.123,1,8,8.64,-,0.93,1,1
maintenance of location in cell (GO:0051651),29,16,17.34,-,0.92,0.878,1,9,9.07,-,0.99,1,1,1,5.57,-,0.18,0.0763,1,10,8.64,+,1.16,0.703,1
response to steroid hormone (GO:0048545),29,16,17.34,-,0.92,0.878,1,10,9.07,+,1.1,0.851,1,10,5.57,+,1.8,0.123,1,8,8.64,-,0.93,1,1
brassinosteroid mediated signaling pathway (GO:0009742),29,16,17.34,-,0.92,0.878,1,10,9.07,+,1.1,0.851,1,10,5.57,+,1.8,0.123,1,8,8.64,-,0.93,1,1
androecium development (GO:0048466),58,32,34.68,-,0.92,0.745,1,17,18.13,-,0.94,0.893,1,12,11.13,+,1.08,0.746,1,19,17.28,+,1.1,0.685,1
stamen development (GO:0048443),58,32,34.68,-,0.92,0.745,1,17,18.13,-,0.94,0.893,1,12,11.13,+,1.08,0.746,1,19,17.28,+,1.1,0.685,1
floral organ development (GO:0048437),145,80,86.71,-,0.92,0.58,1,39,45.33,-,0.86,0.434,1,35,27.83,+,1.26,0.221,1,42,43.2,-,0.97,0.93,1
steroid hormone mediated signaling pathway (GO:0043401),29,16,17.34,-,0.92,0.878,1,10,9.07,+,1.1,0.851,1,10,5.57,+,1.8,0.123,1,8,8.64,-,0.93,1,1
regulation of flower development (GO:0009909),107,59,63.99,-,0.92,0.63,1,28,33.45,-,0.84,0.477,1,20,20.54,-,0.97,1,1,36,31.88,+,1.13,0.549,1
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),214,118,127.97,-,0.92,0.493,1,71,66.89,+,1.06,0.674,1,52,41.08,+,1.27,0.13,1,52,63.76,-,0.82,0.211,1
regulation of abscisic acid-activated signaling pathway (GO:0009787),78,43,46.64,-,0.92,0.707,1,33,24.38,+,1.35,0.147,1,17,14.97,+,1.14,0.578,1,16,23.24,-,0.69,0.218,1
regulation of cellular response to alcohol (GO:1905957),78,43,46.64,-,0.92,0.707,1,33,24.38,+,1.35,0.147,1,17,14.97,+,1.14,0.578,1,16,23.24,-,0.69,0.218,1
regulation of response to alcohol (GO:1901419),78,43,46.64,-,0.92,0.707,1,33,24.38,+,1.35,0.147,1,17,14.97,+,1.14,0.578,1,16,23.24,-,0.69,0.218,1
cellular component biogenesis (GO:0044085),877,483,524.45,-,0.92,0.139,1,205,274.14,-,0.75,7.77E-05,0.00727,148,168.35,-,0.88,0.146,1,239,261.3,-,0.91,0.21,1
cell morphogenesis involved in differentiation (GO:0000904),138,76,82.52,-,0.92,0.619,1,32,43.14,-,0.74,0.147,1,14,26.49,-,0.53,0.0193,0.45,45,41.12,+,1.09,0.596,1
