




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	evolved_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.adaptive_plasticity_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.maladaptive_plasticity_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	allexp_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	allexp_forGO.txt - REFLIST (12841)	evolved_ref_forGO.txt (166)	evolved_ref_forGO.txt (expected)	evolved_ref_forGO.txt (over/under)	evolved_ref_forGO.txt (fold Enrichment)	evolved_ref_forGO.txt (raw P-value)	evolved_ref_forGO.txt (FDR)	adaptive_plasticity_ref_forGO.txt (41)	adaptive_plasticity_ref_forGO.txt (expected)	adaptive_plasticity_ref_forGO.txt (over/under)	adaptive_plasticity_ref_forGO.txt (fold Enrichment)	adaptive_plasticity_ref_forGO.txt (raw P-value)	adaptive_plasticity_ref_forGO.txt (FDR)	maladaptive_plasticity_ref_forGO.txt (15)	maladaptive_plasticity_ref_forGO.txt (expected)	maladaptive_plasticity_ref_forGO.txt (over/under)	maladaptive_plasticity_ref_forGO.txt (fold Enrichment)	maladaptive_plasticity_ref_forGO.txt (raw P-value)	maladaptive_plasticity_ref_forGO.txt (FDR)
purine nucleotide catabolic process (GO:0006195)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3-S28 phosphorylation (GO:0043988)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide cross-linking (GO:0018149)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3-S10 phosphorylation (GO:0043987)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H4-R3 methylation (GO:0043985)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H4-K16 acetylation (GO:0043984)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H4-K12 acetylation (GO:0043983)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H4-K8 acetylation (GO:0043982)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleic acid-protein covalent cross-linking (GO:0018143)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H4-K5 acetylation (GO:0043981)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-DNA covalent cross-linking (GO:0018142)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of mRNA catabolic process (GO:1902373)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
'de novo' IMP biosynthetic process (GO:0006189)	10	0	.13	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
IMP biosynthetic process (GO:0006188)	12	0	.16	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell size (GO:0008361)	16	0	.21	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
generative cell differentiation (GO:0022619)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cell shape (GO:0008360)	16	0	.21	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
cGMP biosynthetic process (GO:0006182)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
dormancy process (GO:0022611)	19	0	.25	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
biological adhesion (GO:0022610)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone H3-K9 methylation (GO:0051574)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of histone H3-K9 methylation (GO:0051573)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of histone H3-K4 methylation (GO:0051572)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone H3-K4 methylation (GO:0051571)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of histone H3-K9 methylation (GO:0051570)	11	0	.14	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of RNA catabolic process (GO:1902369)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H3-K23 acetylation (GO:0043972)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3-K18 acetylation (GO:0043971)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3-K9 acetylation (GO:0043970)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
oxazole or thiazole biosynthetic process (GO:0018131)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of clathrin-dependent endocytosis (GO:1900186)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
guanine salvage (GO:0006178)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to nucleus (GO:1900180)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
GMP biosynthetic process (GO:0006177)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
glycosaminoglycan metabolic process (GO:0030203)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
dATP biosynthetic process from ADP (GO:0006176)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
dATP biosynthetic process (GO:0006175)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan metabolic process (GO:0030201)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of histone H3-K4 methylation (GO:0051569)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell morphogenesis (GO:0022604)	56	0	.72	-	 < 0.01	1.00E00	1.00E00	0	.18	-	 < 0.01	1.00E00	1.00E00	0	.07	-	 < 0.01	1.00E00	1.00E00
histone H3-K4 methylation (GO:0051568)	9	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H3-K9 methylation (GO:0051567)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H2A acetylation (GO:0043968)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H4 acetylation (GO:0043967)	9	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitochondrial calcium ion concentration (GO:0051562)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3 acetylation (GO:0043966)	13	0	.17	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial calcium ion homeostasis (GO:0051560)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
protein hydroxylation (GO:0018126)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfate transmembrane transport (GO:1902358)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell communication (GO:0010647)	59	0	.76	-	 < 0.01	1.00E00	1.00E00	0	.19	-	 < 0.01	1.00E00	1.00E00	0	.07	-	 < 0.01	1.00E00	1.00E00
adenosine salvage (GO:0006169)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
adenine salvage (GO:0006168)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
AMP biosynthetic process (GO:0006167)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside salvage (GO:0006166)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
flavonol biosynthetic process (GO:0051555)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
flavonol metabolic process (GO:0051554)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
flavone biosynthetic process (GO:0051553)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
flavone metabolic process (GO:0051552)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
protein K48-linked deubiquitination (GO:0071108)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
protein adenylylation (GO:0018117)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular component maintenance (GO:0043954)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
adenosine 3',5'-bisphosphate transmembrane transport (GO:0071106)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
protein transport by the Tat complex (GO:0043953)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to strigolactone (GO:1902348)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA conformation change (GO:0071103)	99	0	1.28	-	 < 0.01	6.40E-01	1.00E00	0	.32	-	 < 0.01	1.00E00	1.00E00	0	.12	-	 < 0.01	1.00E00	1.00E00
response to strigolactone (GO:1902347)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of organelle organization (GO:0010639)	25	0	.32	-	 < 0.01	1.00E00	1.00E00	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
histone mRNA metabolic process (GO:0008334)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of fatty acid beta-oxidation (GO:0031998)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
adenosine catabolic process (GO:0006154)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
purine nucleoside catabolic process (GO:0006152)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA export from nucleus in response to heat stress (GO:0031990)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-threonine phosphorylation (GO:0018107)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
fructose export from vacuole to cytoplasm (GO:1902334)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
programmed cell death involved in cell development (GO:0010623)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
inosine catabolic process (GO:0006148)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of defense response to fungus (GO:1900150)	20	0	.26	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleobase catabolic process (GO:0006145)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
purine nucleobase metabolic process (GO:0006144)	14	0	.18	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of nucleotide metabolic process (GO:0006140)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of chlorophyll biosynthetic process (GO:1902326)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of chlorophyll biosynthetic process (GO:1902325)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
aerenchyma formation (GO:0010618)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
circadian regulation of calcium ion oscillation (GO:0010617)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
exonucleolytic catabolism of deadenylated mRNA (GO:0043928)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA strand elongation involved in nuclear cell cycle DNA replication (GO:1902319)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear DNA replication termination (GO:1902317)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear cell cycle DNA replication initiation (GO:1902315)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
posttranscriptional regulation of gene expression (GO:0010608)	150	0	1.94	-	 < 0.01	2.69E-01	1.00E00	0	.48	-	 < 0.01	1.00E00	1.00E00	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of cytoplasmic mRNA processing body assembly (GO:0010606)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cytoplasmic mRNA processing body assembly (GO:0010603)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of 1-aminocyclopropane-1-carboxylate metabolic process (GO:0010602)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of auxin biosynthetic process (GO:0010601)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of auxin biosynthetic process (GO:0010600)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
glycerophosphate shuttle (GO:0006127)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
isoprenoid catabolic process (GO:0008300)	13	0	.17	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of arginine metabolic process (GO:0000821)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of glutamine family amino acid metabolic process (GO:0000820)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of monopolar cell growth (GO:0051513)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of unidimensional cell growth (GO:0051512)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of unidimensional cell growth (GO:0051511)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of unidimensional cell growth (GO:0051510)	38	0	.49	-	 < 0.01	1.00E00	1.00E00	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
NADH oxidation (GO:0006116)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol biosynthetic process (GO:0006114)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of histone H4 acetylation (GO:0090241)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of gluconeogenesis (GO:0006111)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of glycolytic process (GO:0006110)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
adenine nucleotide transport (GO:0051503)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
lysine biosynthetic process via aminoadipic acid (GO:0019878)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
diaminopimelate biosynthetic process (GO:0019877)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of symbiotic process (GO:0043903)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of multi-organism process (GO:0043900)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
proteasome regulatory particle assembly (GO:0070682)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of histone H4 acetylation (GO:0090239)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
glutaminyl-tRNAGln biosynthesis via transamidation (GO:0070681)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of carbohydrate metabolic process (GO:0006109)	51	0	.66	-	 < 0.01	1.00E00	1.00E00	0	.16	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone H3-K9 dimethylation (GO:1900111)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
malate metabolic process (GO:0006108)	12	0	.16	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
oxaloacetate metabolic process (GO:0006107)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
fumarate metabolic process (GO:0006106)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
succinate metabolic process (GO:0006105)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
succinyl-CoA metabolic process (GO:0006104)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of spindle checkpoint (GO:0090231)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
